movie_name,ranking,score,score_num
肖申克的救赎,1,9.7,2172028
霸王别姬,2,9.6,1610386
阿甘正传,3,9.5,1639640
这个杀手不太冷,4,9.4,1824673
泰坦尼克号,5,9.4,1593783
美丽人生,6,9.5,1018333
千与千寻,7,9.4,1707246
辛德勒的名单,8,9.5,835987
盗梦空间,9,9.3,1594710
忠犬八公的故事,10,9.4,1088077
海上钢琴师,11,9.3,1299433
星际穿越,12,9.3,1266819
楚门的世界,13,9.3,1181047
三傻大闹宝莱坞,14,9.2,1451119
机器人总动员,15,9.3,1024294
放牛班的春天,16,9.3,1007742
大话西游之大圣娶亲,17,9.2,1158494
熔炉,18,9.3,710152
疯狂动物城,19,9.2,1395073
无间道,20,9.2,947442
教父,21,9.3,709991
龙猫,22,9.2,970094
当幸福来敲门,23,9.1,1168706
怦然心动,24,9.1,1360124
触不可及,25,9.2,756357
控方证人,26,9.6,319014
蝙蝠侠：黑暗骑士,27,9.2,790733
活着,28,9.3,612626
末代皇帝,29,9.3,577740
寻梦环游记,30,9.1,1175462
乱世佳人,31,9.3,521614
何以为家,32,9.1,738200
指环王3：王者无敌,33,9.2,575963
摔跤吧！爸爸,34,9.0,1195479
飞屋环游记,35,9.0,1015667
少年派的奇幻漂流,36,9.1,1078641
十二怒汉,37,9.4,348747
哈利·波特与魔法石,38,9.1,776277
素媛,39,9.3,482636
鬼子来了,40,9.3,468786
哈尔的移动城堡,41,9.1,747187
天空之城,42,9.1,641650
大话西游之月光宝盒,43,9.0,924474
我不是药神,44,9.0,1591195
罗马假日,45,9.0,741262
闻香识女人,46,9.1,648024
天堂电影院,47,9.2,495014
辩护人,48,9.2,464690
搏击俱乐部,49,9.0,660943
大闹天宫,50,9.3,302698
教父2,51,9.2,395855
猫鼠游戏,52,9.0,636037
狮子王,53,9.0,618029
死亡诗社,54,9.1,527081
指环王2：双塔奇兵,55,9.1,524666
钢琴家,56,9.2,403135
窃听风暴,57,9.1,431453
指环王1：魔戒再现,58,9.0,589763
黑客帝国,59,9.0,597993
饮食男女,60,9.1,436307
美丽心灵,61,9.0,573873
两杆大烟枪,62,9.1,463116
让子弹飞,63,8.8,1222138
飞越疯人院,64,9.1,448761
本杰明·巴顿奇事,65,8.9,745768
绿皮书,66,8.9,1165829
看不见的客人,67,8.8,900769
海蒂和爷爷,68,9.2,316965
西西里的美丽传说,69,8.9,740270
拯救大兵瑞恩,70,9.0,489210
小鞋子,71,9.2,305632
穿条纹睡衣的男孩,72,9.1,380078
情书,73,8.9,683994
音乐之声,74,9.0,452609
海豚湾,75,9.3,295764
美国往事,76,9.2,317446
致命魔术,77,8.9,653530
低俗小说,78,8.9,631202
沉默的羔羊,79,8.8,641720
七宗罪,80,8.8,739424
禁闭岛,81,8.8,713640
蝴蝶效应,82,8.8,707099
心灵捕手,83,8.9,531347
布达佩斯大饭店,84,8.8,670729
春光乍泄,85,8.9,474576
被嫌弃的松子的一生,86,8.9,563608
摩登时代,87,9.3,214252
阿凡达,88,8.7,1001237
哈利·波特与死亡圣器(下),89,8.9,578775
剪刀手爱德华,90,8.7,843715
喜剧之王,91,8.8,716494
勇敢的心,92,8.9,463425
致命ID,93,8.8,602116
加勒比海盗,94,8.8,667569
杀人回忆,95,8.8,504944
天使爱美丽,96,8.7,801663
狩猎,97,9.1,275219
断背山,98,8.8,561186
请以你的名字呼唤我,99,8.9,493255
7号房的礼物,100,8.9,402386
幽灵公主,101,8.9,413323
红辣椒,102,9.0,308624
阳光灿烂的日子,103,8.8,476385
小森林 夏秋篇,104,9.0,319840
第六感,105,8.9,415461
重庆森林,106,8.7,602027
入殓师,107,8.8,462551
小森林 冬春篇,108,9.0,283796
消失的爱人,109,8.7,681480
爱在黎明破晓前,110,8.8,456638
唐伯虎点秋香,111,8.6,781604
一一,112,9.0,268893
蝙蝠侠：黑暗骑士崛起,113,8.8,544783
菊次郎的夏天,114,8.8,420883
侧耳倾听,115,8.9,349054
超脱,116,8.9,356004
倩女幽魂,117,8.7,550953
无人知晓,118,9.1,212222
超能陆战队,119,8.7,756526
玛丽和马克思,120,8.9,346119
甜蜜蜜,121,8.8,394115
萤火之森,122,8.9,381941
告白,123,8.7,556193
借东西的小人阿莉埃蒂,124,8.8,411690
驯龙高手,125,8.7,579717
大鱼,126,8.8,442172
阳光姐妹淘,127,8.8,477868
爱在日落黄昏时,128,8.8,384324
幸福终点站,129,8.8,412329
射雕英雄传之东成西就,130,8.7,494245
功夫,131,8.6,737931
人生果实,132,9.5,112287
完美的世界,133,9.1,200594
恐怖直播,134,8.8,485548
神偷奶爸,135,8.6,744066
怪兽电力公司,136,8.7,491582
天书奇谭,137,9.2,165478
玩具总动员3,138,8.8,380926
哈利·波特与阿兹卡班的囚徒,139,8.7,444982
傲慢与偏见,140,8.6,584432
血战钢锯岭,141,8.7,612294
教父3,142,8.9,263752
时空恋旅人,143,8.7,422776
釜山行,144,8.5,876950
风之谷,145,8.9,291662
哪吒闹海,146,9.1,188662
被解救的姜戈,147,8.7,460811
电锯惊魂,148,8.7,385324
喜宴,149,8.9,254163
上帝之城,150,8.9,239571
七武士,151,9.3,142855
哈利·波特与密室,152,8.7,466735
我是山姆,153,8.9,232858
英雄本色,154,8.7,384888
谍影重重3,155,8.8,326553
头号玩家,156,8.7,1068000
一个叫欧维的男人决定去死,157,8.8,298288
岁月神偷,158,8.7,476834
三块广告牌,159,8.7,636344
纵横四海,160,8.8,308109
疯狂原始人,161,8.7,650417
达拉斯买家俱乐部,162,8.8,342851
心迷宫,163,8.7,374220
记忆碎片,164,8.6,473478
卢旺达饭店,165,8.9,227843
花样年华,166,8.7,434713
未麻的部屋,167,9.0,208842
你的名字。,168,8.4,1050155
荒蛮故事,169,8.8,320659
黑客帝国3：矩阵革命,170,8.8,320725
萤火虫之墓,171,8.7,334141
模仿游戏,172,8.7,461615
爆裂鼓手,173,8.7,425553
贫民窟的百万富翁,174,8.6,593106
东邪西毒,175,8.6,456652
真爱至上,176,8.6,546355
忠犬八公物语,177,9.2,141621
新世界,178,8.8,261303
黑天鹅,179,8.6,656158
头脑特工队,180,8.7,441481
海街日记,181,8.8,306626
你看起来好像很好吃,182,8.9,260052
无敌破坏王,183,8.7,403998
雨人,184,8.7,321708
惊魂记,185,9.0,183285
冰川时代,186,8.6,480875
恋恋笔记本,187,8.5,503034
小偷家族,188,8.7,625691
绿里奇迹,189,8.8,219020
恐怖游轮,190,8.5,603239
疯狂的石头,191,8.5,609929
海边的曼彻斯特,192,8.6,370642
二十二,193,8.7,225541
奇迹男孩,194,8.6,440064
爱在午夜降临前,195,8.8,252836
房间,196,8.8,303646
魔女宅急便,197,8.6,352975
雨中曲,198,9.0,157098
虎口脱险,199,8.9,180441
人工智能,200,8.6,334375
罗生门,201,8.8,232260
终结者2：审判日,202,8.7,267463
可可西里,203,8.8,223928
初恋这件小事,204,8.4,797004
2001太空漫游,205,8.8,217805
哈利·波特与火焰杯,206,8.6,398861
城市之光,207,9.3,98123
魂断蓝桥,208,8.8,211667
色，戒,209,8.5,522595
牯岭街少年杀人事件,210,8.8,196571
海洋,211,9.1,134053
九品芝麻官,212,8.5,429188
燃情岁月,213,8.8,225111
新龙门客栈,214,8.6,336456
源代码,215,8.5,634964
遗愿清单,216,8.6,291664
青蛇,217,8.6,391185
穿越时空的少女,218,8.6,308307
无耻混蛋,219,8.6,368776
大佛普拉斯,220,8.7,299022
阿飞正传,221,8.5,378993
血钻,222,8.7,273231
完美陌生人,223,8.5,422710
疯狂的麦克斯4：狂暴之路,224,8.6,393193
谍影重重2,225,8.7,274498
步履不停,226,8.8,197021
地球上的星星,227,8.9,159297
香水,228,8.5,439155
波西米亚狂想曲,229,8.7,438168
彗星来的那一夜,230,8.5,389615
战争之王,231,8.7,272849
谍影重重,232,8.6,327911
朗读者,233,8.6,381241
猜火车,234,8.5,348524
浪潮,235,8.7,212827
东京物语,236,9.2,98394
再次出发之纽约遇见你,237,8.6,323364
千钧一发,238,8.8,191933
聚焦,239,8.8,219398
驴得水,240,8.3,704029
小萝莉的猴神大叔,241,8.4,380156
追随,242,8.9,141565
寄生虫,243,8.7,1028584
黑客帝国2：重装上阵,244,8.6,279515
我爱你,245,9.0,118609
黑鹰坠落,246,8.7,224426
一次别离,247,8.7,205556
网络谜踪,248,8.6,403016
发条橙,249,8.6,293832
四个春天,250,8.9,126825
